Rank,School,Conference,Power Rating,oe,de,tempo,id,,RANK,TEAM,2021-22 RECORD,POINTS
1,Gonzaga,WCC,28.05,121.37,90.72,74.70,334,,RANK,TEAM,2021-22 RECORD,POINTS
2,North Carolina,ACC,25.05,117.41,92.51,72.24,21,,1,North Carolina (47),29-10,1532
3,Houston,Amer,25.03,114.53,88.89,66.10,6,,2,Gonzaga (12),28-4,1479
4,Kentucky,SEC,24.72,114.76,89.87,69.61,268,,3,Houston (1),32-6,1404
5,Baylor,B12,25.23,115.95,90.23,69.20,108,,4,Kentucky (2),26-8,1364
6,UCLA,P12,24.19,115.25,91.70,66.90,253,,T-5,Baylor,27-7,1200
7,Tennessee,SEC,23.85,111.27,87.40,69.04,277,71.04,T-5,Kansas,34-6,1200
8,Kansas,B12,23.55,112.09,89.14,70.79,106,72.79,7,Duke,32-7,1168
9,Arizona,P12,23.34,114.31,92.43,72.90,247,74.90,8,UCLA,27-8,1093
10,Duke,ACC,23.32,114.45,92.65,70.20,26,72.20,9,Creighton,23-12,1060
11,Texas,B12,23.12,110.90,88.60,65.77,109,67.77,10,Arkansas,28-9,1026
12,Arkansas,SEC,22.98,110.63,88.57,73.10,276,75.10,11,Tennessee,27-8,880
13,Indiana,B10,22.88,111.62,90.06,69.22,93,71.22,12,Texas,22-12,844
14,Creighton,BE,22.33,111.47,91.12,69.70,61,71.70,13,Indiana,24-14,745
15,San Diego St.,MWC,22.22,109.15,88.41,67.30,212,69.30,14,TCU,21-13,735
16,Villanova,BE,22.21,111.54,91.47,65.25,58,67.25,15,Auburn,28-6,623
17,Illinois,B10,22.14,111.04,91.01,69.66,102,71.66,16,Villanova,30-8,578
18,Texas Tech,B12,22.07,108.43,87.83,68.47,111,70.47,17,Arizona,33-4,543
19,Auburn,SEC,22.05,110.26,90.23,72.10,279,74.10,18,Virginia,21-14,462
20,TCU,B12,22.04,110.74,90.85,67.94,114,69.94,19,San Diego State,23-9,394
21,Alabama,SEC,22.03,111.56,91.92,74.50,275,76.50,20,Alabama,19-14,281
22,Florida,SEC,21.99,111.88,92.43,70.70,271,72.70,21,Oregon,19-15,260
23,Purdue,B10,21.98,114.29,95.51,67.91,94,69.91,22,Michigan,19-15,229
24,Dayton,A10,21.93,111.50,92.07,66.20,44,68.20,23,Illinois,23-10,215
25,Connecticut,BE,21.92,110.70,91.08,67.50,3,69.50,24,Dayton,24-11,170
26,Virginia,ACC,21.90,110.19,90.48,61.56,22,63.56,25,Texas Tech,27-10,122
27,Michigan St.,B10,21.88,112.11,92.96,69.90,97,71.90,,,,
28,Oregon,P12,21.70,112.86,94.32,69.38,245,71.38,,,,
29,USC,P12,21.62,111.43,92.68,68.77,246,70.77,,,,
30,Iowa,B10,21.58,114.10,96.19,71.77,91,73.77,,,,
31,Michigan,B10,21.28,110.90,92.78,68.97,95,70.97,,,,
32,Notre Dame,ACC,20.93,113.17,96.47,68.30,25,70.30,,,,
33,Oklahoma St.,B12,20.54,107.00,89.50,70.66,113,72.66,,,,
34,UAB,CUSA,20.36,111.80,96.03,69.95,134,71.95,,,,
35,Virginia Tech,ACC,20.28,109.62,93.43,66.10,31,68.10,,,,
36,Xavier,BE,20.11,110.24,94.60,70.45,59,72.45,,,,
37,Ohio St.,B10,20.09,110.28,94.69,67.54,98,69.54,,,,
38,Oklahoma,B12,19.85,109.00,93.60,67.07,105,69.07,,,,
39,Saint Louis,A10,19.68,110.21,95.53,69.87,54,71.87,,,,
40,Memphis,Amer,19.38,106.16,91.06,72.55,7,74.55,,,,
41,Seton Hall,BE,19.33,108.42,94.06,68.35,60,70.35,,,,
42,Cincinnati,Amer,19.30,108.35,94.04,69.60,4,71.60,,,,
43,Stanford,P12,18.81,107.63,94.24,68.83,254,70.83,,,,
44,Texas A&M,SEC,19.22,108.10,93.90,67.93,270,69.93,,,,
45,Miami FL,ACC,19.18,110.60,97.18,69.81,23,71.81,,,,
46,St. John's,BE,19.16,108.12,94.06,75.44,67,77.44,,,,
47,North Texas,CUSA,19.09,107.70,93.68,63.48,141,65.48,,,,
48,Saint Mary's,WCC,19.02,105.55,91.10,65.47,335,67.47,,,,
49,Missouri,SEC,18.99,110.70,97.74,69.36,280,71.36,,,,
50,BYU,WCC,18.94,107.08,93.23,70.10,336,72.10,,,,
51,LSU,SEC,18.82,106.98,93.39,68.47,269,70.47,,,,
52,Rutgers,B10,18.80,106.45,92.76,67.75,103,69.75,,,,
53,Syracuse,ACC,18.69,111.66,99.63,69.86,30,71.86,,,,
54,Drake,MVC,18.69,109.98,97.50,68.50,211,70.50,,,,
55,Wisconsin,B10,18.66,105.83,92.27,67.71,96,69.71,,,,
56,Furman,SC,18.60,110.76,98.70,67.90,283,69.90,,,,
57,Florida St.,ACC,18.55,107.55,94.73,70.50,29,72.50,,,,
58,Maryland,B10,18.47,108.58,96.21,69.50,92,71.50,,,,
59,VCU,A10,18.42,103.52,89.89,70.88,45,72.88,,,,
60,Mississippi,SEC,18.38,106.49,93.75,67.54,219,69.54,,,,
61,Loyola Chicago,A10,18.33,106.49,93.86,66.58,274,68.58,,,,
62,Wyoming,MWC,18.20,109.35,97.82,69.55,209,71.55,,,,
63,Utah St.,MWC,18.12,106.35,94.18,69.22,220,71.22,,,,
64,Marquette,BE,18.10,107.23,95.34,72.86,65,74.86,,,,
65,West Virginia,B12,18.05,106.89,95.02,70.41,107,72.41,,,,
66,Washington St.,P12,18.02,105.56,93.40,69.20,256,71.20,,,,
67,Providence,BE,17.83,106.98,95.63,67.89,63,69.89,,,,
68,Liberty,ASun,17.80,108.95,98.20,66.31,84,68.31,,,,
69,Colorado,P12,17.78,105.32,93.63,69.30,250,71.30,,,,
70,Clemson,ACC,17.75,106.79,95.57,67.80,27,69.80,,,,
71,Boston College,ACC,17.35,106.09,95.60,66.90,35,68.90,,,,
72,Tulane,Amer,17.29,107.92,98.05,69.97,10,71.97,,,,
73,Temple,Amer,17.24,106.08,95.83,69.35,2,71.35,,,,
74,Arizona St.,P12,17.23,103.66,92.76,71.10,255,73.10,,,,
75,Northwestern,B10,17.13,105.72,95.63,69.67,100,71.67,,,,
76,Western Kentucky,CUSA,17.07,107.95,98.59,70.34,144,72.34,,,,
77,Penn St.,B10,17.07,105.91,96.00,63.99,101,65.99,,,,
78,Boise St.,MWC,16.96,103.57,93.28,67.90,215,69.90,,,,
79,Louisville,ACC,16.83,104.30,94.50,68.78,24,70.78,,,,
80,Mississippi St.,SEC,16.68,104.81,95.50,67.46,278,69.46,,,,
81,Toledo,MAC,16.67,108.60,100.32,70.70,183,72.70,,,,
82,Florida Atlantic,CUSA,16.56,107.19,98.78,69.80,145,71.80,,,,
