School,id,2022 KP ADJ O,2023 GDG ADJ O,oe,de,tempo
Duke,26,121.1,115.9,117.9528474,92.89197843,66.39
Gonzaga,334,120.7,125.4,117.3482181,98.06503557,69.74
Connecticut,3,113.8,122.4,116.7645738,92.71916746,65.11
Baylor,108,118,122.9,116.5037868,97.94167223,66.9
Purdue,94,121,120.4,116.4625443,94.62133175,66.79
North Carolina,21,114.4,113.8,115.9649063,93.32123844,70.3
Arizona,247,118.6,120.4,115.5193142,92.44598754,72.75
Kentucky,268,120,120,115.316742,97.76837038,70.85
Creighton,61,105.9,117.7,114.9515887,95.36950942,67.72
Auburn,279,112.7,115.6,114.5728515,94.59539055,69.23
Houston,6,116.8,120.8,114.3623947,87.76636252,63.8
Alabama,275,115.2,119.2,113.4930652,98.08750466,72.95
BYU,336,110.1,108.1,113.372122,98.16791464,69.43
Iowa,91,120.5,121.6,112.9484135,101.9561121,71.11
Texas A&M,270,109.1,117.8,112.7063368,98.03679325,66.13
Texas Tech,111,110.7,114,112.6407319,96.40534252,66.35
Illinois,102,112,112.5,112.5433535,96.53712532,69.72
Ohio St.,98,115.5,117.3,112.1280804,98.62008736,66.3
Saint Mary's,335,110.1,114.6,112.079044,93.78579838,62.74
Kansas,106,119.2,117.1,112.0506404,93.76460181,69.1
Memphis,7,111.2,115.5,111.8594241,98.66345631,71.32
Michigan St.,97,111.9,116.4,111.8275209,94.1286173,65.66
Texas,109,112.5,120.2,111.4126286,94.53539396,67.32
McNeese State,299,97.7,95.7,111.3576166,108.7418851,66.16
Louisville,24,103,102.4,111.2142333,104.0405321,68.61
Marquette,65,109.2,119.3,110.9747611,95.7985731,69.45
Clemson,27,110.1,114.2,110.9418764,98.50858978,66.82
Wisconsin,96,109.3,109.4,110.8100989,97.2591538,65.29
High Point,85,98.4,98,110.8037627,109.6369911,69.3
SMU,1,108.9,101.8,110.7867032,99.06301136,68.35
Tennessee,277,111.5,115.5,110.7665808,89.66187527,67.73
St. John's,67,110.3,109,110.6251078,98.6940085,70.61
Oregon,245,110,115,110.5316967,98.51475897,67.32
Wake Forest,34,110.7,113.8,110.4766252,100.3046687,69.29
Iowa State,110,103.1,109.2,110.3435043,90.01839831,66.87
UIC,157,112,112.5,110.2004683,98.82881926,69.72
Miami FL,23,113.9,121,110.1558833,99.58788189,68.97
Florida,271,110.2,108.5,110.0242917,99.33533937,70.93
Oklahoma,105,111,112.6,109.7027286,97.16756344,66.26
Pittsburgh,28,99.7,116.6,109.6890728,99.46798143,66.05
Michigan,95,113.9,114.3,109.3838425,100.1723791,67.97
Dayton,44,109.1,109.6,109.3624941,99.6137497,63.86
Xavier,59,111.2,119.6,109.1368492,98.34968344,70.44
USC,246,109.8,113.5,109.0995527,97.82212145,68.12
Ole Miss,274,105.7,107.4,109.077999,100.9253699,66.33
TCU,114,108.7,115,109.0641111,95.67714609,69.19
Northwestern,100,106.6,111.1,109.0387183,98.62592347,65.63
Norfolk State,191,102.1,106.1,108.9946343,108.4647986,65.94
Princeton,160,112.3,108.7,108.8948227,106.2465249,65.63
Virginia Tech,31,115,114.7,108.8692221,99.11983817,66.63
New Mexico,214,106.6,113.9,108.8388912,98.70895138,71.72
Arkansas,276,109.9,114.2,108.8239173,98.10550862,71.02
UAB,134,112.4,113.8,108.8234758,104.7641278,69.59
Cincinnati,4,104.6,114.1,108.8002989,97.32913226,68.29
Indiana,93,107,116.4,108.6767505,97.86566763,68.16
North Carolina St.,33,109.6,116.4,108.6755684,99.63518644,68.3
Lipscomb,40,102.3,104.4,108.6243419,111.6000274,69.14
Mississippi State,278,109.7,105.9,108.4969616,96.49295937,66.36
VCU,45,101.1,107.4,108.4208464,97.15264655,66.49
Villanova,58,117.5,115.9,108.2182959,96.10844338,63.97
Grand Canyon,345,104.7,111.8,108.2126738,101.9734617,66.6
Florida Atlantic,145,105.4,116.8,108.1596199,101.4256668,68.81
UNLV,218,107.5,108.5,108.1570795,100.7927743,66.57
San Francisco,338,110.5,111.3,107.9316721,100.4236682,67.75
Nebraska,99,105.8,107.1,107.8731014,99.35419256,69.25
Washington,249,104.1,104.2,107.7780731,98.88687274,71.52
Boise State,215,107.5,110.2,107.7641842,98.26479727,66.28
Missouri,280,104.1,120.8,107.5834733,104.711208,67.31
Arkansas State,327,99.9,98.7,107.4608761,109.9730888,67.42
South Carolina,267,101.5,104.1,107.2787823,101.2730896,65.28
UCLA,253,115.9,117.9,107.1350496,95.09737444,63.74
LSU,269,107.3,107.4,107.1317877,99.63240277,68.55
Utah,248,107.3,107.9,107.0939984,96.90945964,68.98
Minnesota,104,107.1,102.6,107.0224531,101.9430141,66.71
Penn State,101,105.3,118.1,106.7354794,99.27284591,67.66
Samford,289,105,110.2,106.6824038,106.3518527,71.3
Maryland,92,109.4,117,106.6580974,95.32727507,65.75
Ohio,180,104.2,110,106.6394513,106.1225541,68.43
Nevada,216,106.6,112.4,106.6274709,100.367099,67.76
Utah State,220,109.8,115.2,106.4912906,100.9087012,69.01
Colorado State,217,112.9,110.7,106.298781,101.5248144,66.51
Syracuse,30,115.4,112.3,106.1545957,99.49891315,69.99
Santa Clara,341,111.8,111.3,106.1313568,103.570023,69.51
Washington State,256,107.7,110.8,106.0943363,98.77583441,65.45
Colorado,250,106.5,108.1,106.0384154,97.63239977,67.92
Butler,64,102.6,102.2,105.9872339,99.76987264,68.15
Wright State,150,106.3,99.8,105.9735593,111.9500911,71.88
Kansas State,112,109.6,115.4,105.8747325,96.84932591,68.61
Vanderbilt,273,107.2,117.1,105.860852,103.9915347,66.41
Georgetown,62,104.9,103.7,105.8249667,107.4003363,67.68
Tulane,10,108.8,109.6,105.5853734,105.5573257,71.92
Providence,63,111.5,116.6,105.4706001,96.12768028,67.6
UCF,8,106.6,111.4,105.35259,96.61614213,68.08
Wofford,285,106.5,107.5,105.3502641,111.0767162,65.97
San Diego St.,212,103.4,113.2,105.3149066,94.55129,66.47
George Mason,56,105.9,102.8,105.2503333,102.4257657,64.59
Georgia Tech,32,100.4,106,105.1927866,102.0206991,68.04
Florida State,29,105.3,106.5,105.1424232,100.8542635,70.19
Montana,68,100.2,105.3,105.0730055,110.8070189,65.58
Drake,211,108.8,110.1,105.0505713,101.2671675,68.11
UC Santa Barbara,119,105.1,110.6,104.958246,107.0566601,66.79
Massachusetts,55,111.8,100.8,104.9093417,104.4793546,69.62
St. Bonaventure,47,109.2,101.1,104.8209497,104.4131769,65.84
Charleston,129,104.7,110.2,104.7855223,105.1526571,70.87
Cornell,162,103.4,111.7,104.7150485,108.8961619,71.3
Toledo,183,110.2,118.7,104.642111,109.6100416,69.73
Milwaukee,151,91.7,100.1,104.6227204,111.9795784,70.23
Virginia,22,107.6,113.5,104.5533974,94.29521751,60.84
Wichita State,202,104,107.3,104.5212002,100.9730857,68.3
South Florida,11,90.9,104.3,104.5190484,101.5689057,67.51
California,251,100.5,96.8,104.5064565,102.9125908,67.62
Georgia,272,106.7,105.4,104.5041108,101.2323488,68.25
St. Thomas,1112,106.6,105.7,104.4432234,109.9325526,64.33
Seton Hall,60,107.1,106.9,104.3988071,96.28590145,66.56
Bradley,210,104.8,108.1,104.3896553,100.9029096,66.55
UNCW,124,105.1,103.4,104.3796548,107.9795457,65.74
Saint Joseph's,46,100.4,98.7,104.3617967,101.9619245,69.57
UNC Asheville,80,102.3,102.6,104.2964476,106.915103,68.53
James Madison,126,102.6,106.4,104.1743168,103.9828751,70.39
Saint Louis,54,109.3,110,104.1594089,108.6961117,69.12
UC Irvine,116,99.4,105.5,103.9644938,102.2668359,68.31
George Washington,48,99.3,107.8,103.8299476,108.0446076,70.6
Stanford,254,105.2,115.3,103.5208015,102.2729108,68.67
Loyola Marymount,343,105.8,108.2,103.5101025,108.2277999,65.5
Notre Dame,25,112.4,110.3,103.4655658,99.13714809,64.68
West Virginia,107,108.3,118.8,103.2379358,100.9047988,68.4
Western Kentucky,144,106.6,104.9,103.180427,103.968153,71.89
Howard,195,100.3,101.8,103.1735343,110.7508208,68.91
Chattanooga,281,109,108.1,103.1620441,108.9551483,67.57
Hofstra,128,108.8,108.7,103.1046878,104.0220257,67.38
UNCG,286,100.5,103.2,103.0774042,105.7413574,64.64
Furman,283,113.9,115,103.0252908,107.7914259,69.04
Umass lowell,16,96.2,107.1,102.991994,105.7299353,69.56
Oakland,149,102.9,102.7,102.9058011,108.8564502,67.91
Liberty,84,104.9,109.7,102.8799032,105.7089882,64.82
Boston College,35,104.5,104.6,102.8264228,102.367222,67.22
Indiana State,207,98.3,109.5,102.7826173,104.1779007,70.59
Vermont,15,111.1,108.7,102.774791,102.9298211,64.37
Weber State,69,103.3,99.4,102.7260775,107.924839,66.79
Temple,2,102.1,106.5,102.5338331,103.6835561,67.47
Oral Roberts,320,109.5,113.8,102.3948283,109.2405344,69.13
North Texas,141,105.8,113.2,102.3662963,99.54324588,61.22
Rutgers,103,106.9,107.9,102.338991,93.11457954,67.09
Kennesaw State,42,104.7,104.8,102.3372634,109.8691841,71.95
Murray State,240,111.5,105.3,102.319618,107.3817515,65.67
Kent State,178,101.6,107.3,102.3022123,105.0966893,67.28
Towson,127,109.6,107.6,102.2174711,103.92319,63.72
Yale,158,100.7,110.6,102.1842337,102.6896389,66.74
Charlotte,142,104.9,109.7,102.1087342,104.0210911,63.15
Winthrop,82,105.9,108,101.9946214,110.6353892,67.94
Northern Iowa,206,110.6,104.5,101.9633848,106.3386551,67.33
Tulsa,5,103.6,97.6,101.9081276,106.4530053,69.36
Incarnate Word,294,94.8,94.8,101.8486015,115.4580544,68.36
Northern Colorado,75,107.7,104.4,101.8302373,112.8903653,70.98
Arizona State,255,101.2,110,101.8153955,97.58884463,68.94
UT Arlington,325,97.7,97.6,101.7088919,106.5986814,68.4
Rhode Island,50,99.3,97.5,101.6856192,107.5922872,68.3
Georgia State,328,101.5,97.2,101.6508865,107.9065315,68.05
Oklahoma State,113,103.8,109.1,101.6362484,98.73717058,67.88
Akron,177,105.6,110,101.5502295,103.9591465,65.24
Eastern Kentucky,237,101.2,102.5,101.5459982,109.7167302,69.99
Columbia,159,93.2,92.1,101.3916832,112.5085222,68.97
Longwood,87,105.9,104.3,101.3124701,106.3524263,66.94
UTSA,147,94.3,100.8,101.2992648,113.1240916,70.58
Florida Gulf Coast,38,104.4,103.1,101.2707695,109.5262978,65.52
Louisiana Tech,137,105.6,105.9,101.2541688,101.9833951,67.36
Penn,161,106.2,108.5,101.2148259,111.2573721,67.3
East Carolina,9,102.7,97.5,101.1737578,104.6173914,67.02
South Dakota State,314,115.4,101.4,101.1500234,105.2909625,68.68
South Dakota,321,104.4,101.8,101.0477623,115.019534,68.36
North Dakota State,318,102.9,103,100.9749262,111.8702782,67.05
Oregon State,252,105.4,100.3,100.9682906,105.6738631,65.7
Iona,167,108,106,100.9452074,105.2761107,68.28
Loyola Chicago,209,108.6,102.4,100.912546,101.0244354,67.89
Citadel,288,101.2,96.8,100.9074251,111.9194933,66.64
Cleveland State,156,103.3,102.9,100.9067007,108.5753061,67.71
North Alabama,396,90.2,101,100.771133,112.1923238,68.89
Wyoming,219,109.1,108.5,100.7449714,107.2264567,66.79
Youngstown State,155,102.8,112.6,100.7340225,108.9870607,69.1
Troy,333,98.7,98.3,100.7119596,104.686488,69.84
Eastern Washington,70,104.1,111.8,100.6759195,111.0001027,69.79
William & Mary,125,90.2,98.5,100.6673746,112.9202271,66.47
Drexel,132,104.5,101.2,100.645895,105.2645079,65.3
Queens,962,#N/A,99.8,100.62044,110.6978991,72.52
Nicholls State,302,100.8,97.3,100.6056522,110.3906929,68.83
Appalachian State,331,101,101.3,100.5935265,101.973142,67
SOUTHERN ILLINOIS,205,102.5,103,100.5562193,103.9847088,64.31
Belmont,233,108.5,106.6,100.5443915,105.126169,70.83
Purdue Fort Wayne,315,98.6,100.4,100.480475,107.0702781,70.44
American,265,94.4,101.6,100.477262,113.8723605,63.48
San Jose State,222,98.9,109,100.4639081,109.1421085,65.38
Delaware,133,107,102.1,100.3372048,106.2011053,67.42
Little Rock,323,96.9,101.2,100.2548929,110.8793586,69.37
DePaul,66,106.9,106.4,100.2361803,107.5794337,68.26
Pepperdine,337,97.4,104.2,100.2163965,107.9527763,69.31
Ball State,184,101.4,107.8,100.212048,110.259222,67.86
